id,check,adm.level,Bundesland,Landkreis,intervention,start,end,comment,reference,reference2
"1,CORRECT,1,,,speech,2020-03-13,,""Merkel,Steinmeier"",https://www.rnd.de/politik/steinmeier-zu-corona-epidemie-dauer-der-krise-noch-nicht-absehbar-PUQP6YC7SGPT2LHBU6TGUH5NIQ.html,https://www.nytimes.com/2020/03/11/world/europe/coronavirus-merkel-germany.html"
299,CORRECT,2,Hamburg,,events,2020-03-16,,,https://www.hamburg.de/allgemeinverfuegungen/13721232/allgemeinverfuegung-zur-eindaemmung-des-coronavirus-in-hamburg/,
300,CORRECT,2,Hamburg,,bars,2020-03-16,,,https://www.hamburg.de/allgemeinverfuegungen/13721232/allgemeinverfuegung-zur-eindaemmung-des-coronavirus-in-hamburg/,
301,CORRECT,2,Hamburg,,restaurants,2020-03-16,,limited,https://www.hamburg.de/allgemeinverfuegungen/13721232/allgemeinverfuegung-zur-eindaemmung-des-coronavirus-in-hamburg/,
302,CORRECT,2,Hamburg,,sports,2020-03-16,,,https://www.hamburg.de/allgemeinverfuegungen/13721232/allgemeinverfuegung-zur-eindaemmung-des-coronavirus-in-hamburg/,
303,CORRECT,2,Hamburg,,shops,2020-03-17,,,https://www.hamburg.de/allgemeinverfuegungen/13725978/allgemeinverfuegung-vom-16-maerz-2020/,
304,CORRECT,2,Hamburg,,restaurants,2020-03-17,,,https://www.hamburg.de/allgemeinverfuegungen/13725978/allgemeinverfuegung-vom-16-maerz-2020/,
305,CORRECT,2,Hamburg,,kitas,2020-03-21,,,https://www.hamburg.de/allgemeinverfuegungen/13743812/2020-03-20-allgemeinverfuegung-kindertageseinrichtungen-kindertagespflegestellen/,
306,CORRECT,2,Hamburg,,gatherings,2020-03-21,,6,https://www.hamburg.de/allgemeinverfuegungen/13743758/2020-03-20-allgemeinverfuegung-ansammlungsverbot-schliessung-gaststaetten/,
307,CORRECT,2,Hamburg,,distance,2020-03-22,,,https://www.hamburg.de/allgemeinverfuegungen/13746326/2020-03-22-voruebergehende-kontaktbeschraenkungen/,
308,CORRECT,2,Hamburg,,gatherings,2020-03-22,,hh+1,https://www.hamburg.de/allgemeinverfuegungen/13746326/2020-03-22-voruebergehende-kontaktbeschraenkungen/,
309,CORRECT,2,Hamburg,,shops2,2020-04-20,,,https://www.luewu.de/docs/gvbl/docs/2350.pdf,
310,CORRECT,2,Hamburg,,masks,2020-04-27,,,https://www.hamburg.de/coronavirus/13876094/2020-04-24-coronavius-aktueller-stand/,
311,CORRECT,2,Hamburg,,churches open,2020-05-05,,,https://www.luewu.de/docs/gvbl/docs/2353.pdf,
